TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
SelfClosing,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,520,,,,,,,,,,,,,NA,,,"November 12, 2025 4:15 PM",,,Pset_DoorCommon.SelfClosing,,,Boolean (yes/no),,,,No,Self-closing,Self-closing,Is the door provided with a self-closing mechanism (triggered or always closing?),,,,implicit (not explicitly stated),,,,,,,,,,,
UsefulWidth,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,527,,,,,,,,,,,,,NA,,,"November 13, 2025 8:53 AM",,,,,m,Number,,,,No,Useful Width,,,,,,explicit (calculation/formula),,,,,,,,,,,
ThermalConductivity,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,64,,,,,Explicit definition,,,,NA,"(this content has copy right, will be removed after WIP stage) parameter related to the rate at which heat flows through a materialNote 1 to entry: Thermal conductivity is calculated using the following formula:k = (Q·d)/(A·t·θ)where k is the thermal conductivity and Q is the amount of heat that flows in time, t, through a material of thickness, d, and cross-sectional  area , A, and which has a temperature difference, θ, across it, and where no heat is exchanged with the surroundings.Note 2 to entry: The typical unit is W·m−1·K−1. https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.430",,,NA,,,"November 12, 2025 4:18 PM",,,Pset_MaterialThermal.ThermalConductivity,,,Number,,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Thermal Conductivity,Thermal Conductivity,,,,,implicit (not explicitly stated),,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.430,,
AreaFireCompartment,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,94,,FireCompartment (https://www.notion.so/FireCompartment-223f8487e6e78039b8fee3912513fa99?pvs=21),,,Explicit definition,Article 1.6.1,"The area of the floor, without deducting the area of columns, walls or other elements resting on the floor. The area of the enclosed staircases and enclosed shafts is deducted because they are not part of the compartment.","de oppervlakte van de vloer, zonder aftrek van de oppervlakte van de kolommen, muren of andere elementen die op de vloer rusten. De oppervlakte van de omsloten trappenhuizen en van de omsloten kokers wordt wel afgetrokken omdat zij geen deel uitmaken van het compartiment",Horizontal gross-area measured without any deduction between het inner surfaces of the compartment boundaries,horizontale bruto-oppervlakte zonder enige aftrek gemeten tussen de binnenvlakken der compartimentswanden,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",Interpretation note - FOD IBZ,,NA,NA,"January 6, 2026 1:09 PM",,,,property,m²,Number,NA,,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Compartment Area,Oppervlakte van een compartiment,,,horizontal gross area measured from the inside of the compartment boundaries,horizontale bruto-oppervlakte zonder enige aftrek gemeten tussen de binnenvlakken der compartimentswanden.,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,nl-BE,,NA,,
AutomaticFireExtinguishSystem,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,156,,,,,,,,,,,1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21),,,,,"January 6, 2026 1:09 PM",,,,property,choice,Enumeration (choice),,,,Yes,Automatic fire extinguishing system,automatische blusinstallatie,,,,,implicit (not explicitly stated),Compartmentation,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,nl-BE,,NA,,
SmokeAndHeatExtraction,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,135,,,,,,,,,,,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",,,,,"January 6, 2026 1:09 PM",,,,property,choice,Enumeration (choice),,,,No,Compartment-Smoke and heat extraction,rook- en warmteafvoerinstallatie,,,,,,compartmentation,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,nl-BE,,NA,,
InternalStair,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,166,,,,,Expert definition,,Stair between building layers inside a compartment,Trap tussen bouwlagen binnen een compartiment,,,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",,Stair between 2 building layers within the same compartment (Duplex or Triplex). There are no fire requirements to this stair,,,"January 6, 2026 1:09 PM",,,,property,choice,Enumeration (choice),,,,No,Internal Staircase,binnenverbindingstrap,no definition,,stair within a compartment (duplex or triplex),trap binnen een compartiment (duplex en triplex),,compartmentation,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,fire expert,nl-BE,,NA,,
TechnicalRoom,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,116,,,,,Explicit definition,Artikel 5.2,NA,NA,"room or space in which fixed equipment or installations are installed, connected to the building, and which is only accessible to the persons responsible for operation, supervision, maintenance or repair","lokaal of ruimte waarin vaste toestellen of installaties zijn opgesteld, verbonden met het gebouw, en dat (die) enkel toegankelijk is voor de personen belast met bediening, toezicht, onderhoud of herstelling.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",NA,NA,NA,NA,"January 22, 2026 11:49 AM",,,,property,,,,,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Technical Room,technisch lokaal of ruimte,,,"room or space in which fixed equipment or installations are installed, connected to the building, and which are only accessible to the persons responsible for operation, supervision, maintenance or repair","lokaal of ruimte waarin vaste toestellen of installaties zijn opgesteld, verbonden met het gebouw, en dat (die) enkel toegankelijk zijn voor de personen belast met bediening, toezicht, onderhoud of herstelling",,compartmentation,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,,nl-BE,,NA,,
EvacuationPath,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,68,,,,,Explicit definition,Artikel 5.6.1,NA,NA,"maximum 10% sloping road, within the building, that provides access to enclosed internal staircases, external staircases, vluchtterrassen and exits.","maximum 10% hellende weg, binnen het gebouw, die toegang geeft tot trappenhuizen, vluchtterrassen of uitgangen",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,"In a compartment, the connection between staircases is via evacuation paths and vluchtterrassen",NA,NA,"January 6, 2026 1:09 PM",,,,property,m²,Number,,,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Path of evacuation,evacuatieweg,,,"surface area of ​​the compartment section for which the number of users can be accurately determined on the basis of the fixed furniture, expressed in m²","oppervlakte van het compartimentsgedeelte waarvan het aantal gebruikers nauwkeuring kan bepaald worden op basis van het vast meubilair, uitgedrukt in m²",,,2. EVACUATION,,,,,nl-BE,,NA,,
NumberBuildingLayers-Building,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,151,,,,,,,,,,,,,,,,"January 6, 2026 1:09 PM",,,,property,[-],Number,,,,Yes,Building-number of building layers,Aantal bouwlagen in het gebouw,,,,,implicit (not explicitly stated),,,,,,,nl-BE,,NA,To be reviewed,
Duplex,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,65,,,,,Explicit definition,Artikel 1.18,NA,NA,The compartment formed by two superimposed floors with an internal connecting staircase,Het compartiment dat gevormd wordt door twee boven elkaar geplaatste bouwlagen met een binnenverbindingstrap,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",NA,,NA,NA,"January 6, 2026 1:09 PM",,,,property,,Boolean (yes/no),,,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Duplex,Duplex,Possible type of comparment - exception to compartment should correspond to one building layer,,the compartment formed by two superimposed floors with an internal connecting staircase,het compartiment dat gevormd wordt door twee boven elkaar geplaatste bouwlagen met een binnenverbindingstrap,,Compartmentation,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,,nl-BE,,NA,,
Triplex,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,138,,,,,Explicit definitionn,Artikel 1.28,NA,NA,The compartment formed by three superimposed floors with an internal connecting staircase,Het compartiment dat gevormd wordt door drie boven elkaar geplaatste bouwlagen met een binnenverbindingstrap,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",NA,,NA,NA,"January 6, 2026 1:09 PM",,,,property,,Boolean (yes/no),,,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Triplex,Triplex,,,the compartment formed by three superimposed floors with an internal connecting staircase,het compartiment dat gevormd wordt door drie boven elkaar geplaatste bouwlagen met een binnenverbindingstrap,,compartmentation,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,,nl-BE,,NA,,
Atrium,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,169,,,,,Explicit definition,CEN/TR 12101-5,NA,NA,"Enclosed space, not necessarily vertically aligned, passing through two or more storeys in a building. Lift wells, escalator shafts, building services ducts and protected stairways are not classified as atria",NA,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",NA,NA,"Compartment over 2 or more building layers, there is not necessarily a stair within thise compartment connecting the different building layers","Compartiment dat over 2 of meerdere bouwlagen loopt, er is niet noodzakelijk een trap binnen dit compartiment die de verschillende bouwlagen verbindt","January 22, 2026 11:50 AM",,,,property,NA,Boolean (yes/no),NA,NA,,No,Compartment-type:Atrium,Compartment-type:Atrium,not defined in legislation but definition in standard CEN/TR 12101-5,,Open space in a building typically over more than 1 building layer,open ruimte in een gebouw typisch over meerdere verdiepingen,,compartmentation,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,,nl-BE,,NA,,
WallTypeInternal,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,100,,,,,,KB/AR - Bijlage 1 - 1.5,,,,,,,,,,"January 6, 2026 1:09 PM",,,IfcWall.Pset_Common.IsExternal=FALSE,property,[-],,,,,No,Wall-type:internal,binnenwand,,,vertical or non-vertical building element that separates two volumes between two interior environments,al dan niet verticaal bouwelement dat twee volumes scheidt tussen twee binnenomgevingen,,,,,,,,nl-BE,,NA,,
WallTypeExternal,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,76,,,,,,KB/AR - Bijlage 1 - 1.5,,,,,,,,,,"January 6, 2026 1:09 PM",,,IfcWall.Pset_Common.IsExternal=TRUE,property,[-],,,,,No,Wall-type:external,buitenwand,,,vertical or non-vertical building element that separates two volumes between an indoor and outdoor environment,al dan niet verticaal bouwelement dat twee volumes scheidt tussen een binnen- en buitenomgeving,,,,,,,,nl-BE,,NA,,
RoomTypeCollectiveKitchen,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,83,,,,,,,,,,,,,,,,"January 6, 2026 1:09 PM",,,,property,,,,,,No,Room-type:collective_kitchen,,,,,,,,,,,,,nl-BE,,NA,,
WalltypeBuildingFirewall,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,157,WalltypeCompartmentFirewall (https://www.notion.so/WalltypeCompartmentFirewall-2a8f8487e6e780098ae9f93627e26f7f?pvs=21),,,,Explicit definition,BR18-VK5-D01,NA,NA,Wall in or against the neighboring boundary designed to prevent a fire from spreading to another property.,"Væg i eller mod naboskel, der er udformet, så en brand ikke spredes til anden grund.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,object,[-],,,Fire barrier,BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Building-Firewall,Brandvæg,NA,,,,,,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary",,,,,dk-DK,,NA,,
AreaOpeningClearGeometric,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,158,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"Geometric opening area (Ag) minus any obstructions in the opening (e.g. motors, opening mechanisms or grilles) and reduction due to the degree of opening of any window or hatch.","Geometrisk åbningsareal (Ag) med fradrag af forhindringer i åbningen (f.eks. motorer, åbningsmekanismer eller riste) samt reduktion pga. åbningsgraden af eventuelt vindue eller lem.",2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21),NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,m2,Number,,NA,BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Free opening area (geometric free opening area),Frit åbningsareal (geometrisk frit åbningsareal),NA,,,,,,2. EVACUATION,,,,,dk-DK,,NA,,
