Name,IFC_Mapping
MaximumSlope,"Firebim.MaximumSlope,Pset_StairFlightCommon.Slope,Pset_RampFlightCommon.Slope"
LoadBearingCapacity,Firebim.LoadBearingCapacity
MaximumAxleLoad,Firebim.MaximumAxleLoad
Annexes,Firebim.Annexes
OverhangingRoofs,Firebim.OverhangingRoofs
Canopies,Firebim.Canopies
CantileveredParts,Firebim.CantileveredParts
OtherAdditions,Firebim.OtherAdditions
EvacuationSafety,Firebim.EvacuationSafety
UserSafety,Firebim.UserSafety
FirefighterAction,Firebim.FirefighterAction
FireSpreadPrevention,Firebim.FireSpreadPrevention
DistanceBetweenBuildings,Firebim.DistanceBetweenBuildings
AngleBetweenFacades,Firebim.AngleBetweenFacades
RadiationLimit,Firebim.RadiationLimit
IsSeparatingWall,Firebim.IsSeparatingWall
IsSelfClosing,Pset_DoorCommon.SelfClosing
IsFireActivatedClosing,Firebim.IsFireActivatedClosing
ExemptFromDistanceRule,Firebim.ExemptFromDistanceRule
CompartmentArea,Pset_SpaceCommon.GrossPlannedArea
CompartmentHeight,Pset_SpaceCommon.Height
CompartmentLength,Firebim.CompartmentLength
HasAutomaticFireExtinguishingSystem,"Pset_FireSuppressionTerminalTypeCommon.AutomaticRelease,Pset_SpaceFireSafetyRequirements.AutomaticSprinklerProtection"
HasSmokeAndHeatExhaustSystem,Pset_SpaceFireSafetyRequirements.SmokeExhaustSystem
NumberOfFloors,Pset_SpaceCommon.NumberOfStoreys
ContainsTechnicalRooms,Firebim.ContainsTechnicalRooms
IsAtrium,Firebim.IsAtrium
IsInternalConnection,Firebim.IsInternalConnection
IsCompartment,Firebim.IsCompartment
HasAutomaticFireDetectionSystem,Pset_SpaceFireSafetyRequirements.FireDetection
FireDetectionCoverage,Firebim.FireDetectionCoverage
MinimumNumberOfExits,Pset_SpaceCommon.NumberOfExits
Occupancy,Pset_SpaceOccupancyRequirements.OccupancyNumber
AdditionalExitsRequired,Firebim.AdditionalExitsRequired
Exits,Firebim.CompartmentExits
RouteDestination,Firebim.EvacuationRouteDestination
WallFireResistance,Pset_WallCommon.FireRating
DoorFireResistance,Pset_DoorCommon.FireRating
LeadsToOutside,Firebim.StaircaseLeadsToOutside
HasAlternativeExit,Firebim.HasAlternativeExit
HasExitToOutside,Firebim.HasExitToOutside
WallPenetrationFireResistance,Firebim.WallPenetrationFireResistance
ExpansionJointFireResistance,Firebim.ExpansionJointFireResistance
InnerProtectionFireResistance,Firebim.InnerProtectionFireResistance
IsEvacuationLevel,Firebim.IsEvacuationLevel
IsInternal,Pset_WallCommon.IsExternal
IsCompartmentBoundary,Firebim.IsCompartmentBoundary
IsEvacuationRouteBoundary,Firebim.IsEvacuationRouteBoundary
IsOccupiedAtNight,Firebim.IsOccupiedAtNight
SuspendedCeilingFireResistance,Firebim.SuspendedCeilingFireResistance
FireStability,Firebim.FireStability
CeilingVoidCompartmentMaxSideLength,Firebim.CeilingVoidCompartmentMaxSideLength
MaterialClass,Pset_MaterialCommon.FireRating
ExtendsThroughEntireSpace,Firebim.ExtendsThroughEntireSpace
CompartmentSeparation,Firebim.CompartmentSeparation
LinearJointSeal,Firebim.LinearJointSeal
DistanceToOpposingFacade,Firebim.DistanceToOpposingFacade
MaximumRadiationBetweenFacades,Firebim.MaximumRadiationBetweenFacades
InnerWallFireResistance,Pset_WallCommon.FireRating
OuterWallOpenings,Firebim.OuterWallOpenings
AutomaticFireDetection,Pset_FireDetectionSystem.AutomaticFire
Length,Pset_LinearExtendedElement.Length
ClosureActivation,Firebim.ClosureActivation
Angle,Firebim.VentilationOpeningAngle
Distribution,Firebim.VentilationOpeningDistribution
SafetyPosition,Firebim.SafetyPosition
ManualControlSystem,Firebim.ManualControlSystem
PowerFailureSafetyMode,Firebim.PowerFailureSafetyMode
FaultDetection,Firebim.FaultDetection
ElectricalCablingFireResistance,Firebim.ElectricalCablingFireResistance
IsEnclosed,Firebim.IsEnclosed
ConnectsCompartments,Firebim.ConnectsCompartments
ExternalWallGlazing,Firebim.ExternalWallGlazing
AccessToEvacuationLevel,Firebim.AccessToEvacuationLevel
UpperVentilationOpening,Firebim.UpperVentilationOpening
IsGlazed,Pset_WallCommon.IsExternal
TotalArea,Pset_SpaceCommon.GrossPlannedArea
IsMultiLevel,Firebim.IsMultiLevel
LevelArea,Pset_SpaceCommon.GrossPlannedArea
IsUnderground,"Firebim.IsUndergroundHydrant,Pset_BuildingStoreyCommon.AboveGround"
VentilationOpeningArea,Firebim.VentilationOpeningArea
VentilationOpeningLocation,Firebim.VentilationOpeningLocation
VentilationOpeningControl,Firebim.VentilationOpeningControl
VentilationDuctCrossSection,Firebim.VentilationDuctCrossSection
HasHandrails,Firebim.HasHandrails
TreadDepth,Pset_StairFlightCommon.TreadLength
RiserHeight,Pset_StairFlightCommon.RiserHeight
StaircaseType,Pset_StairCommon.StairType
UsefulWidth,Firebim.UsefulWidth
RequiredUsefulWidth,Firebim.RequiredUsefulWidth
WidthDifference,Firebim.WidthDifference
ConnectsEvacuationLevel,Firebim.ConnectsEvacuationLevel
MaxDistanceToEvacuationRoute,Firebim.MaxDistanceToEvacuationRoute
MaxDistanceToNearestExit,Firebim.MaxDistanceToNearestExit
MaxDistanceToSecondExit,Firebim.MaxDistanceToSecondExit
MaxDeadEndLength,Firebim.MaxDeadEndLength
MinimumUsefulWidth,Firebim.MinimumUsefulWidth
HasEvacuationRoute,Firebim.HasEvacuationRoute
HasEscapeTerrace,Firebim.HasEscapeTerrace
IsOnEvacuationLevel,Firebim.IsOnEvacuationLevel
IsLocked,Firebim.IsLocked
HasDisplayWindows,Firebim.HasDisplayWindows
IsOnEvacuationRoute,Firebim.IsOnEvacuationRoute
ConnectsToPublicRoad,Firebim.ConnectsToPublicRoad
FloorNumber,Firebim.FloorNumber
HasFloorNumberIndicator,Firebim.HasFloorNumberIndicator
HasExitSignage,Firebim.HasExitSignage
NumberOfExits,Pset_SpaceCommon.NumberOfExits
MaxDistanceToExit,Firebim.MaxDistanceToExit
MaxDistanceBetweenExits,Firebim.MaxDistanceBetweenExits
NumberOfServiceFloors,Firebim.NumberOfServiceFloors
CombustionRate,Firebim.CombustionRate
IsTechnicalRoom,Firebim.IsTechnicalRoom
TotalFireLoad,Firebim.TotalFireLoad
MinimumArea,Pset_SpaceCommon.GrossPlannedArea
IsWaterProtected,Firebim.IsWaterProtected
OilContent,Firebim.OilContent
HasExternalAccess,Firebim.HasExternalAccess
WasteDisposalChutesProhibited,Firebim.WasteDisposalChutesProhibited
HatchFireResistance,Pset_DoorCommon.FireRating
HasMotorizedVentilationFlap,Firebim.HasMotorizedVentilationFlap
IsMotorized,Firebim.IsMotorized
CompliesWithStandard,Firebim.CompliesWithStandard
IsParking,Firebim.IsParking
HasCommunicatingFloors,Firebim.HasCommunicatingFloors
RoofFunction,Firebim.RoofFunction
IsOpenParking,Firebim.IsOpenParking
SupportsOtherCompartment,Firebim.SupportsOtherCompartment
IsAdjacent,Firebim.IsAdjacent
FormsSingleParking,Firebim.FormsSingleParking
DesignCompliance,Firebim.ParkingDesignCompliance
ConstructionCompliance,Firebim.ParkingConstructionCompliance
LayoutCompliance,Firebim.ParkingLayoutCompliance
StructuralElementFireResistance,Pset_FireRatingProperties.FireResistanceRating
HorizontalSurfaceFireResistance,Pset_SlabCommon.FireRating
ContainsNonOccupiedRooms,Firebim.ContainsNonOccupiedRooms
AccessibleDistance,Firebim.AccessibleDistance
HasFloorIndicators,Firebim.HasFloorIndicators
ReplacesStaircase,Firebim.ReplacesStaircase
SmokePrevention,Firebim.SmokePrevention
MaximumOccupancy,Pset_SpaceOccupancyRequirements.OccupancyNumber
LowestFloorLevel,Firebim.LowestFloorLevel
DistanceToEvacuationLevel,Firebim.DistanceToEvacuationLevel
OpeningDirection,Pset_DoorCommon.HandicapAccessible
GalleryLevel,Firebim.GalleryLevel
AdjacentFloors,Firebim.AdjacentFloors
HasSeparationWalls,Firebim.HasSeparationWalls
HasIndependentExits,Firebim.HasIndependentExits
HasSprinklerSystem,Pset_SpaceFireSafetyRequirements.AutomaticSprinklerProtection
IsAdjacentToEvacuationLevel,Firebim.IsAdjacentToEvacuationLevel
HasFireResistantWalls,Firebim.HasFireResistantWalls
HasSuspendedCeiling,Firebim.HasSuspendedCeiling
IsCollective,Firebim.IsCollectiveKitchen
HasRestaurant,Firebim.HasRestaurant
IsCompartmentedFromKitchen,Firebim.IsCompartmentedFromKitchen
HasTransportSystem,Firebim.HasTransportSystem
IsHorizontal,"Firebim.IsHorizontalEvacuationRoute,Firebim.IsHorizontalTransport"
IsVertical,Firebim.IsVerticalTransport
ShaftWallFireResistance,Pset_WallCommon.FireRating
CompartmentBoundaryFireResistance,Pset_DoorCommon.FireRating
HasEnergySupplyInterruption,Firebim.HasEnergySupplyInterruption
AccessibilityForMaintenance,Firebim.AccessibilityForMaintenance
AccessibilityForEmergency,Firebim.AccessibilityForEmergency
DriveLocation,Firebim.ElevatorDriveLocation
ControlAccessibility,Firebim.ElevatorControlAccessibility
AbnormalTemperatureBehavior,Firebim.ElevatorAbnormalTemperatureBehavior
AutomaticReturnToNormalOperation,Firebim.ElevatorAutomaticReturnToNormalOperation
WaterExtinguishingSystemPresence,Firebim.WaterExtinguishingSystemPresence
HasGlazedExteriorWalls,Firebim.HasGlazedExteriorWalls
HasSmokeDetection,Pset_SpaceFireSafetyRequirements.SmokeDetection
ComplianceWithStandard,Firebim.ComplianceWithStandard
HasElevator,Firebim.HasElevator
ServesMultipleCompartments,Firebim.ServesMultipleCompartments
ServesParkingCompartment,Firebim.ServesParkingCompartment
ServesApartment,Firebim.ServesApartment
HasExteriorAccess,Firebim.HasExteriorAccess
OilContainmentCapacity,Firebim.OilContainmentCapacity
ElectricalEquipmentElevation,Firebim.ElectricalEquipmentElevation
SharesLandingWithElevator,Firebim.SharesLandingWithElevator
HasNaturalVentilation,Firebim.HasNaturalVentilation
VentilationLocation,Firebim.VentilationLocation
HasMotorizedVentilationFlaps,Firebim.HasMotorizedVentilationFlaps
AutomaticControl,Firebim.AutomaticControl
ManualControl,Firebim.ManualControl
ElevatorOperation,Firebim.ElevatorOperation
EvacuationLevelLandingDesignation,Firebim.EvacuationLevelLandingDesignation
ManualCallDevice,Firebim.ManualCallDevice
FireDetectionSignal,Firebim.FireDetectionSignal
ShaftSmokeDetection,Firebim.ShaftSmokeDetection
AlternativeLandingRedirection,Firebim.AlternativeLandingRedirection
OpenDoorParking,Firebim.OpenDoorParking
AuthorizedReactivation,Firebim.AuthorizedReactivation
LandingWallFireResistance,Pset_WallCommon.FireRating
InspectionHatchFireResistance,Pset_DoorCommon.FireRating
IsAutomaticClosing,Pset_DoorCommon.SelfClosing
CompartmentDestination,Firebim.CompartmentDestination
ServesMultipleLevels,Firebim.ServesMultipleLevels
ServesParking,Firebim.ServesParking
ExitsToOutside,Firebim.ExitsToOutside
AccessibilityForMobility,Firebim.AccessibilityForMobility
MinimumDepth,"Firebim.MinimumDepth,Pset_TransportElementCommon.CapacityCar"
HasEvacuationKey,Firebim.HasEvacuationKey
HasSignage,"Firebim.FireExtinguisherHasSignage,Firebim.HasSignage"
HasIntercomSystem,Firebim.HasIntercomSystem
HasElevatorLobby,Firebim.HasElevatorLobby
IsFirefighterElevator,Firebim.IsFirefighterElevator
DoorMinimumUsefulWidth,Firebim.DoorMinimumUsefulWidth
HasFirefighterKey,Firebim.HasFirefighterKey
MaximumTravelTime,Firebim.MaximumTravelTime
IsAirlock,Firebim.IsAirlock
HasFireSeparation,Firebim.HasFireSeparation
ElectricalInstallationRegulationCompliance,Firebim.ElectricalInstallationRegulationCompliance
ElectricalCableFireResistance,Firebim.ElectricalCableFireResistance
ElectricalCableDiameter,Firebim.ElectricalCableDiameter
ElectricalCableConductorCrossSection,Firebim.ElectricalCableConductorCrossSection
ElectricalCableConduitFireResistance,Firebim.ElectricalCableConduitFireResistance
HasSafetyLighting,Firebim.HasSafetyLighting
HasBackupLighting,Firebim.HasBackupLighting
HasAlarmSystem,Firebim.HasAlarmSystem
HasSmokeExtractionSystem,Pset_SpaceFireSafetyRequirements.SmokeExhaustSystem
HasFireFightingWaterPumps,Firebim.HasFireFightingWaterPumps
HasDrainagePumps,Firebim.HasDrainagePumps
HasAutonomousPowerSource,Firebim.HasAutonomousPowerSource
AutomaticSwitchoverTime,Firebim.AutomaticSwitchoverTime
BackupPowerDuration,Firebim.BackupPowerDuration
SafetyLightingStandardCompliance,Firebim.SafetyLightingStandardCompliance
SafetyLightingPowerSource,Firebim.SafetyLightingPowerSource
HasAutonomousLightingFixtures,Firebim.HasAutonomousLightingFixtures
ComplianceWithStandards,Firebim.GasInstallationStandardCompliance
ComplianceWithConditions,Firebim.AeraulicSystemComplianceWithConditions
IntegratedInAirDuctNetwork,Firebim.IntegratedInAirDuctNetwork
UsedForAirTransport,Firebim.UsedForAirTransport
AirRecirculationAllowed,Firebim.AirRecirculationAllowed
HasSmokeValveInRecirculationDuct,Firebim.HasSmokeValveInRecirculationDuct
HasSmokeDetectionInRecirculationAir,Firebim.HasSmokeDetectionInRecirculationAir
HasDirectExhaustSystem,Firebim.HasDirectExhaustSystem
AirFlowRate,Pset_AirHandlingUnitTypeCommon.AirFlowRate
ServesMultipleRooms,Firebim.ServesMultipleRooms
SuspensionStability,Firebim.SuspensionStability
MaximumLength,Firebim.MaximumLength
MaterialType,Pset_MaterialCommon.Material
MaximumSpacing,Firebim.MaximumSpacing
MaximumForce,Firebim.MaximumForce
MaximumStress,Firebim.MaximumStress
MaximumDistance,Firebim.MaximumDistance
MaximumShearStress,Firebim.MaximumShearStress
DayOccupancy,Firebim.DayOccupancy
ContainsAirHandlingUnits,Firebim.ContainsAirHandlingUnits
OperationType,Firebim.FireDamperOperationType
AutomaticClosureTemperature,Firebim.FireDamperAutomaticClosureTemperature
RemoteControlClosure,Firebim.FireDamperRemoteControlClosure
PositiveSafetySystem,"Firebim.FireDamperPositiveSafetySystem,Firebim.SmokeValvePositiveSafetySystem"
ExternalEnergyRequirement,Firebim.FireDamperExternalEnergyRequirement
AutomaticClosureOnDetection,Firebim.FireDamperAutomaticClosureOnDetection
CycleTestPassed,Firebim.FireDamperCycleTestPassed
CorrosionResistant,Firebim.FireDamperCorrosionResistant
NoPeriodicLubricationRequired,Firebim.FireDamperNoPeriodicLubricationRequired
HasPositionIndicator,Firebim.FireDamperHasPositionIndicator
HasAirflowDirectionArrow,Firebim.FireDamperHasAirflowDirectionArrow
HasNameplate,Firebim.FireDamperHasNameplate
CanBeResetAfterOperation,Firebim.FireDamperCanBeResetAfterOperation
StabilityIndependentOfDucts,Firebim.FireDamperStabilityIndependentOfDucts
HasInspectionDoor,Firebim.FireDamperHasInspectionDoor
HasVisibleMarking,Firebim.FireDamperHasVisibleMarking
LeakageRate,Firebim.SmokeValveLeakageRate
LeakageClass,Firebim.SmokeValveLeakageClass
GasketTemperatureResistance,Firebim.SmokeValveGasketTemperatureResistance
FireDetectionSystem,Pset_SpaceFireSafetyRequirements.FireDetection
ServesCompartment,Firebim.ServesCompartment
ShutdownOnFireDetection,Firebim.ShutdownOnFireDetection
HasFireDetectionSystem,Firebim.HasFireDetectionSystem
IsRequired,"Firebim.CentralFireControlPanelIsRequired,Firebim.FireHoseReelIsRequired"
Accessibility,Firebim.CentralFireControlPanelAccessibility
FireAlarmSystem,Firebim.FireAlarmSystem
WarningSystem,Firebim.WarningSystem
FirefightingEquipment,Firebim.FirefightingEquipment
NumberOfFireExtinguishers,Firebim.NumberOfFireExtinguishers
FireExtinguisherDistribution,Firebim.FireExtinguisherDistribution
RequiresHumanIntervention,Firebim.RequiresHumanIntervention
IsAccessible,Firebim.FireExtinguisherIsAccessible
IsProtectedFromWeather,Firebim.FireExtinguisherIsProtectedFromWeather
SignageCompliance,Firebim.FireExtinguisherSignageCompliance
FireAlarmDevicePresent,Firebim.FireAlarmDevicePresent
FloorArea,Pset_SpaceCommon.GrossPlannedArea
CommunicationMethod,Firebim.CommunicationMethod
PermanentConnection,Firebim.PermanentConnection
ImmediateConnection,Firebim.ImmediateConnection
HasUsageInstructions,Firebim.HasUsageInstructions
HasDestinationInformation,Firebim.HasDestinationInformation
HasPhoneNumber,Firebim.HasPhoneNumber
IsDirectConnection,Firebim.IsDirectConnection
IsAutomaticConnection,Firebim.IsAutomaticConnection
WarningSignalAudibility,Firebim.WarningSignalAudibility
AlarmSignalAudibility,Firebim.AlarmSignalAudibility
WarningMessageAudibility,Firebim.WarningMessageAudibility
AlarmMessageAudibility,Firebim.AlarmMessageAudibility
SignalDistinctiveness,Firebim.SignalDistinctiveness
IsPortable,Firebim.IsPortableFireExtinguisher
IsMobile,Firebim.IsMobileFireExtinguisher
HasAxialFeed,Firebim.HasAxialFeed
WaterFlowReach,Firebim.WaterFlowReach
IsAboveground,Firebim.IsAbovegroundHydrant
FeedWaterPipeDiameter,Firebim.FeedWaterPipeDiameter
WaterSource,Firebim.HydrantWaterSource
MinimumWaterCapacity,Firebim.MinimumWaterCapacity
HasAutomaticSprinklerSystem,Pset_SpaceFireSafetyRequirements.AutomaticSprinklerProtection
PipeDiameter,Pset_PipeSegmentOccurrence.InteriorDiameter
WaterPressure,Firebim.WaterPressure
IsDuplex,Firebim.IsDuplex
IsTriplex,Firebim.IsTriplex
IsGroundFloor,Firebim.IsGroundFloor
